CLAVE,ESTADO,POBLACION
1,Ags,1312544
2,BC,3315766
3,BCS,712029
4,Camp,899931
5,Coah,2954915
6,Col,711235
7,Chis,5217908
8,Chih,3556574
9,CDMX,8918653
10,Dur,1754754
11,Gto,5853677
12,Gro,3533251
13,Hgo,2858359
14,Jal,7844830
15,Edo. Mex,16187608
16,Mich,4584471
17,Mor,1903811
18,Nay,1181050
19,NL,5119504
20,Oax,3967889
21,Pue,6168883
22,Qro,2038372
23,Q. Roo,1501562
24,SLP,2717820
25,Sin,2966321
26,Son,2850330
27,Tab,2395272
28,Tam,3441698
29,Tlax,1272847
30,Ver,8112505
31,Yuc,2097175
32,Zac,1579209
